index,coordinate_x,coordinate_y
0,58,178
1,72,214
2,88,249
3,109,281
4,137,307
5,170,327
6,205,343
7,243,354
8,273,352
9,296,337
10,311,309
11,323,277
12,333,244
13,339,210
14,340,175
15,335,141
16,325,107
17,82,129
18,96,104
19,123,87
20,154,81
21,186,85
22,235,73
23,253,57
24,277,51
25,299,54
26,314,68
27,221,123
28,230,145
29,240,167
30,249,190
31,220,222
32,236,222
33,252,220
34,262,214
35,272,207
36,122,155
37,136,143
38,155,138
39,176,144
40,160,152
41,140,157
42,253,125
43,265,110
44,282,106
45,299,110
46,288,120
47,271,125
48,209,280
49,229,265
50,247,253
51,261,253
52,272,247
53,286,248
54,302,254
55,293,272
56,282,282
57,269,288
58,256,290
59,235,289
60,219,278
61,249,268
62,262,266
63,274,261
64,294,256
65,277,262
66,265,267
67,252,269
