index,coordinate_x,coordinate_y
0,99,148
1,99,175
2,102,202
3,107,229
4,115,255
5,130,279
6,150,299
7,172,319
8,199,329
9,229,329
10,258,316
11,282,295
12,302,268
13,316,237
14,328,203
15,337,170
16,340,134
17,95,116
18,106,102
19,124,102
20,143,106
21,160,115
22,206,112
23,232,102
24,258,101
25,283,108
26,303,123
27,187,143
28,186,167
29,184,191
30,183,215
31,164,222
32,175,228
33,187,232
34,200,229
35,212,226
36,118,140
37,132,132
38,148,134
39,161,149
40,146,150
41,129,148
42,223,151
43,239,136
44,257,135
45,273,146
46,258,151
47,241,152
48,152,242
49,167,244
50,181,245
51,190,248
52,203,246
53,225,246
54,252,243
55,227,263
56,205,271
57,191,271
58,180,269
59,166,260
60,159,246
61,180,255
62,191,257
63,204,256
64,244,245
65,204,257
66,191,257
67,180,255
