index,coordinate_x,coordinate_y
0,75,69
1,66,83
2,60,99
3,55,116
4,52,133
5,53,152
6,55,168
7,61,182
8,72,191
9,90,196
10,113,197
11,136,196
12,158,192
13,177,183
14,192,169
15,204,153
16,215,135
17,89,41
18,97,39
19,105,41
20,113,45
21,118,53
22,141,60
23,156,60
24,171,64
25,182,73
26,190,86
27,118,80
28,111,87
29,103,95
30,94,103
31,87,114
32,89,117
33,92,120
34,99,123
35,106,125
36,88,74
37,95,72
38,102,75
39,107,82
40,99,81
41,92,78
42,140,94
43,150,92
44,159,96
45,166,103
46,156,103
47,147,100
48,69,142
49,75,133
50,82,131
51,86,135
52,93,136
53,102,147
54,110,161
55,96,162
56,85,160
57,78,158
58,73,155
59,69,150
60,73,143
61,80,141
62,85,143
63,91,145
64,105,159
65,89,150
66,82,148
67,77,145
