index,coordinate_x,coordinate_y
0,36,84
1,39,129
2,48,172
3,60,213
4,79,251
5,108,282
6,142,308
7,178,330
8,215,333
9,247,322
10,271,295
11,296,266
12,317,232
13,330,195
14,339,158
15,342,120
16,340,81
17,64,51
18,86,29
19,119,19
20,153,20
21,185,33
22,252,31
23,275,18
24,301,13
25,325,18
26,338,38
27,220,85
28,223,120
29,227,155
30,230,190
31,188,207
32,206,211
33,224,216
34,240,209
35,254,202
36,99,89
37,119,77
38,143,79
39,167,96
40,142,99
41,117,99
42,254,92
43,273,72
44,296,70
45,314,79
46,299,91
47,276,93
48,151,247
49,180,245
50,206,240
51,223,245
52,237,239
53,255,240
54,273,240
55,257,264
56,240,277
57,224,281
58,206,280
59,180,270
60,162,249
61,206,257
62,223,258
63,238,255
64,264,245
65,239,252
66,224,256
67,207,256
