index,coordinate_x,coordinate_y
0,88,137
1,88,158
2,92,179
3,99,200
4,109,220
5,124,238
6,138,257
7,154,276
8,174,283
9,196,280
10,220,264
11,241,245
12,259,224
13,271,201
14,278,174
15,281,146
16,282,118
17,86,110
18,93,99
19,107,96
20,121,97
21,135,102
22,165,98
23,185,88
24,206,86
25,228,90
26,245,101
27,152,127
28,151,148
29,151,169
30,150,190
31,139,197
32,148,202
33,156,205
34,166,201
35,176,197
36,100,131
37,108,122
38,122,122
39,133,134
40,121,136
41,108,136
42,186,131
43,198,117
44,212,116
45,226,123
46,215,130
47,200,132
48,134,220
49,143,221
50,153,219
51,161,222
52,171,219
53,189,220
54,210,219
55,191,235
56,175,242
57,164,243
58,154,241
59,144,234
60,140,223
61,153,227
62,162,229
63,172,228
64,204,221
65,173,229
66,162,230
67,153,227
