index,coordinate_x,coordinate_y
0,82,131
1,88,148
2,98,165
3,109,180
4,122,196
5,136,210
6,149,224
7,163,236
8,179,237
9,196,230
10,213,214
11,227,194
12,238,172
13,246,147
14,246,122
15,242,95
16,236,68
17,71,113
18,70,101
19,77,94
20,88,90
21,99,91
22,123,77
23,137,67
24,155,60
25,173,59
26,190,66
27,118,109
28,120,124
29,121,138
30,122,152
31,123,165
32,129,167
33,136,166
34,143,162
35,150,158
36,88,125
37,91,118
38,100,114
39,111,118
40,103,123
41,94,127
42,147,103
43,152,93
44,164,89
45,176,90
46,168,98
47,157,102
48,137,195
49,133,187
50,138,182
51,144,182
52,149,179
53,165,179
54,182,182
55,173,200
56,161,207
57,155,209
58,148,209
59,141,204
60,140,194
61,142,189
62,147,188
63,152,186
64,177,184
65,155,196
66,149,198
67,143,197
