index,coordinate_x,coordinate_y
0,24,166
1,35,193
2,49,219
3,66,243
4,91,260
5,122,271
6,155,277
7,187,278
8,211,271
9,227,255
10,235,231
11,242,209
12,246,186
13,247,163
14,245,140
15,237,119
16,224,99
17,60,120
18,71,104
19,88,92
20,109,85
21,129,86
22,170,75
23,181,65
24,193,61
25,205,61
26,214,69
27,161,110
28,171,124
29,181,138
30,191,151
31,165,177
32,178,176
33,190,175
34,198,170
35,204,164
36,89,137
37,100,126
38,114,122
39,128,128
40,117,134
41,103,137
42,177,112
43,184,99
44,196,95
45,207,99
46,201,105
47,189,110
48,141,217
49,164,203
50,183,193
51,194,191
52,201,186
53,212,185
54,220,189
55,218,205
56,211,217
57,202,223
58,191,226
59,170,227
60,148,216
61,186,201
62,196,198
63,204,194
64,214,192
65,206,204
66,198,209
67,187,213
