index,coordinate_x,coordinate_y
0,37,91
1,35,116
2,34,142
3,36,167
4,44,191
5,59,212
6,77,230
7,96,244
8,115,249
9,130,245
10,143,229
11,156,214
12,168,199
13,180,183
14,189,166
15,193,150
16,195,132
17,72,79
18,88,72
19,108,70
20,126,76
21,142,87
22,166,95
23,177,92
24,188,93
25,198,97
26,202,106
27,151,115
28,151,130
29,151,144
30,151,159
31,125,170
32,133,173
33,140,177
34,147,176
35,154,174
36,88,104
37,101,99
38,114,103
39,123,114
40,111,115
41,98,112
42,160,123
43,172,116
44,183,118
45,188,126
46,181,130
47,170,128
48,98,193
49,118,192
50,132,190
51,138,193
52,144,192
53,149,197
54,153,202
55,144,208
56,137,213
57,131,214
58,124,212
59,112,206
60,103,195
61,129,199
62,136,200
63,141,200
64,149,202
65,140,202
66,134,202
67,128,201
